Label,# 样本,平均值,中位数,90% 百分位,95% 百分位,99% 百分位,最小值,最大值,异常 %,吞吐量,接收 KB/sec,发送 KB/sec
HTTP请求-长域名转短域名,435529,3,3,4,5,15,1,1135,0.000%,1301.31408,510.80,531.20
TOTAL,435529,3,3,4,5,15,1,1135,0.000%,1301.31408,510.80,531.20
