GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
short-url-service,com.snail.shorturlservice.service.impl,MurmurHashShortUrlService,19,190,5,11,5,45,5,8,0,5
short-url-service,com.snail.shorturlservice.controller,ShortUrlController,17,3,0,0,4,1,2,1,2,1
