GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
dnsDemo,cn.dns.utils,CheckArgsUtils,8,3,1,1,2,2,2,1,1,1
dnsDemo,cn.dns.utils,ConversionUtils,40,320,4,4,5,13,5,3,1,3
dnsDemo,cn.dns,App,8,0,0,0,3,0,2,0,2,0
dnsDemo,cn.dns.service.impl,DnsServiceImpl,0,56,0,0,0,12,0,4,0,4
dnsDemo,cn.dns.exception,CheckArgsException,4,0,0,0,2,0,1,0,1,0
dnsDemo,cn.dns.controller,DnsController,10,3,0,0,2,1,2,1,2,1
