GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
short-api,org.hkm.service,ShortApiService,55,420,6,6,13,30,5,8,1,6
short-api,org.hkm,AppConfigProperties,145,24,30,0,0,4,19,7,4,7
short-api,org.hkm,ShortApiApplication,15,3,0,0,2,1,1,1,1,1
short-api,org.hkm.enums,RedisKey,0,28,0,0,0,6,0,3,0,3
short-api,org.hkm.controller,ShortApiController,28,48,1,3,7,11,2,4,1,3
short-api,org.hkm.config,SwaggerConfig,0,28,0,0,0,10,0,3,0,3
short-api,org.hkm.model,ShortUrl,145,36,30,0,0,6,19,8,4,8
