GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
com.domain,com.domain.service.stroe,StoreService,166,310,19,21,32,74,18,19,2,15
com.domain,com.domain.service.stroe,StoreService.WriteDataThread,0,41,1,3,0,8,1,5,0,4
com.domain,com.domain.service.system,MonitorService.new Runnable() {...},0,18,0,0,0,5,0,2,0,2
com.domain,com.domain.service.system,MonitorService,0,17,0,0,0,5,0,3,0,3
com.domain,com.domain.service.domain,DomainService,54,131,10,10,17,31,9,5,0,4
