Label,# 样本,平均值,中位数,90% 百分位,95% 百分位,99% 百分位,最小值,最大值,异常 %,吞吐量,接收 KB/sec,发送 KB/sec
HTTP请求-长域名转短域名,1174811,5,5,6,7,69,1,1285,1.041%,1331.03000,521.47,543.33
TOTAL,1174811,5,5,6,7,69,1,1285,1.041%,1331.03000,521.47,543.33
