timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1.62625E+12,1050,获取短链接HTTP请求,200,HTTP/1.1 200,获取短链接线程组 1-2,text,TRUE,,178,0,36,79,http://localhost:8083/domain/getShortUrl,1050,0,0
1.62625E+12,971,获取短链接HTTP请求,200,HTTP/1.1 200,获取短链接线程组 1-10,text,TRUE,,178,0,35,78,http://localhost:8083/domain/getShortUrl,971,0,0
1.62625E+12,931,获取短链接HTTP请求,200,HTTP/1.1 200,获取短链接线程组 1-14,text,TRUE,,178,0,34,77,http://localhost:8083/domain/getShortUrl,931,0,0
1.62625E+12,1012,获取短链接HTTP请求,200,HTTP/1.1 200,获取短链接线程组 1-6,text,TRUE,,178,0,33,76,http://localhost:8083/domain/getShortUrl,1012,0,0
1.62625E+12,1063,获取短链接HTTP请求,200,HTTP/1.1 200,获取短链接线程组 1-1,text,TRUE,,178,0,33,76,http://localhost:8083/domain/getShortUrl,1063,0,0
1.62625E+12,964,获取短链接HTTP请求,200,HTTP/1.1 200,获取短链接线程组 1-11,text,TRUE,,178,0,31,74,http://localhost:8083/domain/getShortUrl,964,0,0
1.62625E+12,749,获取短链接HTTP请求,200,HTTP/1.1 200,获取短链接线程组 1-33,text,TRUE,,178,0,31,74,http://localhost:8083/domain/getShortUrl,749,0,0
1.62625E+12,592,获取短链接HTTP请求,200,HTTP/1.1 200,获取短链接线程组 1-49,text,TRUE,,178,0,29,71,http://localhost:8083/domain/getShortUrl,592,0,0
1.62625E+12,554,获取短链接HTTP请求,200,HTTP/1.1 200,获取短链接线程组 1-53,text,TRUE,,178,0,29,71,http://localhost:8083/domain/getShortUrl,554,0,0
1.62625E+12,572,获取短链接HTTP请求,200,HTTP/1.1 200,获取短链接线程组 1-51,text,TRUE,,178,0,27,69,http://localhost:8083/domain/getShortUrl,572,0,0
1.62625E+12,545,获取短链接HTTP请求,200,HTTP/1.1 200,获取短链接线程组 1-54,text,TRUE,,178,0,27,69,http://localhost:8083/domain/getShortUrl,545,0,0
1.62625E+12,509,获取短链接HTTP请求,200,HTTP/1.1 200,获取短链接线程组 1-57,text,TRUE,,178,0,25,67,http://localhost:8083/domain/getShortUrl,509,0,0
1.62625E+12,926,获取短链接HTTP请求,200,HTTP/1.1 200,获取短链接线程组 1-16,text,TRUE,,178,0,24,66,http://localhost:8083/domain/getShortUrl,926,0,0
1.62625E+12,934,获取短链接HTTP请求,200,HTTP/1.1 200,获取短链接线程组 1-15,text,TRUE,,178,0,23,65,http://localhost:8083/domain/getShortUrl,934,0,0
1.62625E+12,588,获取短链接HTTP请求,200,HTTP/1.1 200,获取短链接线程组 1-50,text,TRUE,,178,0,22,64,http://localhost:8083/domain/getShortUrl,588,0,0
1.62625E+12,518,获取短链接HTTP请求,200,HTTP/1.1 200,获取短链接线程组 1-56,text,TRUE,,178,0,22,64,http://localhost:8083/domain/getShortUrl,518,0,0
1.62625E+12,505,获取短链接HTTP请求,200,HTTP/1.1 200,获取短链接线程组 1-58,text,TRUE,,178,0,22,64,http://localhost:8083/domain/getShortUrl,505,0,0
1.62625E+12,997,获取短链接HTTP请求,200,HTTP/1.1 200,获取短链接线程组 1-9,text,TRUE,,178,0,22,64,http://localhost:8083/domain/getShortUrl,997,0,0
1.62625E+12,497,获取短链接HTTP请求,200,HTTP/1.1 200,获取短链接线程组 1-59,text,TRUE,,178,0,22,64,http://localhost:8083/domain/getShortUrl,497,0,0
1.62625E+12,957,获取短链接HTTP请求,200,HTTP/1.1 200,获取短链接线程组 1-13,text,TRUE,,178,0,22,64,http://localhost:8083/domain/getShortUrl,957,0,0
1.62625E+12,538,获取短链接HTTP请求,200,HTTP/1.1 200,获取短链接线程组 1-55,text,TRUE,,178,0,22,64,http://localhost:8083/domain/getShortUrl,538,0,0
1.62625E+12,437,获取短链接HTTP请求,200,HTTP/1.1 200,获取短链接线程组 1-66,text,TRUE,,178,0,15,57,http://localhost:8083/domain/getShortUrl,437,0,0
1.62625E+12,742,获取短链接HTTP请求,200,HTTP/1.1 200,获取短链接线程组 1-47,text,TRUE,,178,0,14,51,http://localhost:8083/domain/getShortUrl,742,0,0
1.62625E+12,579,获取短链接HTTP请求,200,HTTP/1.1 200,获取短链接线程组 1-62,text,TRUE,,178,0,13,50,http://localhost:8083/domain/getShortUrl,579,0,0
1.62625E+12,564,获取短链接HTTP请求,200,HTTP/1.1 200,获取短链接线程组 1-65,text,TRUE,,178,0,13,50,http://localhost:8083/domain/getShortUrl,564,0,0
1.62625E+12,498,获取短链接HTTP请求,200,HTTP/1.1 200,获取短链接线程组 1-71,text,TRUE,,178,0,13,49,http://localhost:8083/domain/getShortUrl,498,0,0
1.62625E+12,580,获取短链接HTTP请求,200,HTTP/1.1 200,获取短链接线程组 1-61,text,TRUE,,178,0,10,46,http://localhost:8083/domain/getShortUrl,580,0,0
1.62625E+12,526,获取短链接HTTP请求,200,HTTP/1.1 200,获取短链接线程组 1-69,text,TRUE,,178,0,10,46,http://localhost:8083/domain/getShortUrl,526,0,0
1.62625E+12,692,获取短链接HTTP请求,200,HTTP/1.1 200,获取短链接线程组 1-52,text,TRUE,,178,0,8,44,http://localhost:8083/domain/getShortUrl,692,0,0
1.62625E+12,516,获取短链接HTTP请求,200,HTTP/1.1 200,获取短链接线程组 1-70,text,TRUE,,178,0,8,44,http://localhost:8083/domain/getShortUrl,516,0,0
1.62625E+12,572,获取短链接HTTP请求,200,HTTP/1.1 200,获取短链接线程组 1-64,text,TRUE,,178,0,6,42,http://localhost:8083/domain/getShortUrl,572,0,0
1.62625E+12,736,获取短链接HTTP请求,200,HTTP/1.1 200,获取短链接线程组 1-48,text,TRUE,,178,0,5,41,http://localhost:8083/domain/getShortUrl,736,0,0
1.62625E+12,546,获取短链接HTTP请求,200,HTTP/1.1 200,获取短链接线程组 1-67,text,TRUE,,178,0,5,41,http://localhost:8083/domain/getShortUrl,546,0,0
1.62625E+12,536,获取短链接HTTP请求,200,HTTP/1.1 200,获取短链接线程组 1-68,text,TRUE,,178,0,5,41,http://localhost:8083/domain/getShortUrl,536,0,0
1.62625E+12,583,获取短链接HTTP请求,200,HTTP/1.1 200,获取短链接线程组 1-63,text,TRUE,,178,0,5,41,http://localhost:8083/domain/getShortUrl,583,0,0
1.62625E+12,680,获取短链接HTTP请求,200,HTTP/1.1 200,获取短链接线程组 1-60,text,TRUE,,178,0,1,17,http://localhost:8083/domain/getShortUrl,680,0,0
