timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1.62625E+12,580,获取长链接HTTP请求,404,HTTP/1.1 404,获取长链接线程组 2-55,text,FALSE,,581,0,29,30,http://localhost:8083/domain/getLongtUrl,580,0,0
1.62625E+12,670,获取长链接HTTP请求,404,HTTP/1.1 404,获取长链接线程组 2-47,text,FALSE,,581,0,27,28,http://localhost:8083/domain/getLongtUrl,670,0,0
1.62625E+12,794,获取长链接HTTP请求,404,HTTP/1.1 404,获取长链接线程组 2-38,text,FALSE,,581,0,26,27,http://localhost:8083/domain/getLongtUrl,794,0,0
1.62625E+12,886,获取长链接HTTP请求,404,HTTP/1.1 404,获取长链接线程组 2-31,text,FALSE,,581,0,25,26,http://localhost:8083/domain/getLongtUrl,886,0,0
1.62625E+12,761,获取长链接HTTP请求,404,HTTP/1.1 404,获取长链接线程组 2-44,text,FALSE,,581,0,24,25,http://localhost:8083/domain/getLongtUrl,761,0,0
1.62625E+12,951,获取长链接HTTP请求,404,HTTP/1.1 404,获取长链接线程组 2-25,text,FALSE,,581,0,23,24,http://localhost:8083/domain/getLongtUrl,951,0,0
1.62625E+12,943,获取长链接HTTP请求,404,HTTP/1.1 404,获取长链接线程组 2-26,text,FALSE,,581,0,22,23,http://localhost:8083/domain/getLongtUrl,943,0,0
1.62625E+12,610,获取长链接HTTP请求,404,HTTP/1.1 404,获取长链接线程组 2-60,text,FALSE,,581,0,21,22,http://localhost:8083/domain/getLongtUrl,610,0,0
1.62625E+12,758,获取长链接HTTP请求,404,HTTP/1.1 404,获取长链接线程组 2-45,text,FALSE,,581,0,20,21,http://localhost:8083/domain/getLongtUrl,758,0,0
1.62625E+12,866,获取长链接HTTP请求,404,HTTP/1.1 404,获取长链接线程组 2-35,text,FALSE,,581,0,19,20,http://localhost:8083/domain/getLongtUrl,866,0,0
1.62625E+12,814,获取长链接HTTP请求,404,HTTP/1.1 404,获取长链接线程组 2-40,text,FALSE,,581,0,18,19,http://localhost:8083/domain/getLongtUrl,814,0,0
1.62625E+12,609,获取长链接HTTP请求,404,HTTP/1.1 404,获取长链接线程组 2-61,text,FALSE,,581,0,17,18,http://localhost:8083/domain/getLongtUrl,609,0,0
1.62625E+12,814,获取长链接HTTP请求,404,HTTP/1.1 404,获取长链接线程组 2-41,text,FALSE,,581,0,16,16,http://localhost:8083/domain/getLongtUrl,814,0,0
1.62625E+12,870,获取长链接HTTP请求,404,HTTP/1.1 404,获取长链接线程组 2-36,text,FALSE,,581,0,15,15,http://localhost:8083/domain/getLongtUrl,870,0,0
1.62625E+12,694,获取长链接HTTP请求,404,HTTP/1.1 404,获取长链接线程组 2-52,text,FALSE,,581,0,14,14,http://localhost:8083/domain/getLongtUrl,694,0,0
1.62625E+12,812,获取长链接HTTP请求,404,HTTP/1.1 404,获取长链接线程组 2-42,text,FALSE,,581,0,14,14,http://localhost:8083/domain/getLongtUrl,812,0,0
